feature,importance
entropy,0.2802480141336382
url_length,0.1997442864007162
num_digits,0.1499642385295884
num_dots,0.10995019535305656
num_slashes,0.10409227049845719
num_special_chars,0.10316355773961285
keyword_login,0.03197043373740117
keyword_secure,0.014501263034798722
has_ip,0.0033997391813247973
keyword_verify,0.0029660013914059886
form_count,0.0
script_count,0.0
hidden_input_count,0.0
login_form_present,0.0
ssl_expiry_days,0.0
domain_age_days,0.0
ssl_cn_mismatch,0.0
ssl_self_signed,0.0
ssl_expired,0.0
external_form_action,0.0
