feature,importance
google_index,0.1463346713683651
page_rank,0.09922971892417548
nb_hyperlinks,0.08075458895640261
web_traffic,0.06883906455231394
nb_www,0.03822956447320487
domain_age,0.03436099978697978
ratio_extHyperlinks,0.03315951404737901
ratio_intHyperlinks,0.02892798445962913
phish_hints,0.027417018820280525
longest_word_path,0.02673019729229477
safe_anchor,0.02386313146287624
ratio_extRedirection,0.01931782842903269
length_url,0.018494779465795957
ratio_digits_url,0.018312955685675116
length_hostname,0.01755896153999049
links_in_tags,0.017425634098575553
longest_words_raw,0.01675834658537552
length_words_raw,0.01651498397507782
shortest_word_host,0.015704148753418645
char_repeat,0.015131969197271772
avg_word_path,0.014353391438258215
domain_registration_length,0.013728922914665312
domain_in_title,0.013240761064441624
ratio_digits_host,0.013164570446646557
nb_dots,0.01303319218308077
nb_slash,0.011672292963264018
shortest_word_path,0.011031213365409395
nb_hyphens,0.00989789786885472
avg_words_raw,0.009754945599893938
ip,0.00949011622023578
avg_word_host,0.008880472919075864
nb_eq,0.008630411963029378
nb_qm,0.008363912182533646
shortest_words_raw,0.007842651556483634
longest_word_host,0.007219818964471947
ratio_extErrors,0.006724458276549236
ratio_extMedia,0.006601344537294552
ratio_intMedia,0.005935634700912633
domain_with_copyright,0.005903405285191877
nb_subdomains,0.004754401755353466
nb_extCSS,0.004197022488424312
domain_in_brand,0.0037804547512578024
nb_redirection,0.003721001232215495
prefix_suffix,0.0030703787496054085
empty_title,0.003012353060359969
nb_underscore,0.0028499795020756513
shortening_service,0.0026171055721845617
https_token,0.002007497827792803
external_favicon,0.001967658892136781
nb_and,0.001918219642846962
dns_record,0.0019149090560206246
tld_in_subdomain,0.0016951976135310314
statistical_report,0.0012545135136357091
suspecious_tld,0.0012480905213616198
nb_com,0.001205996631496536
nb_percent,0.0011898844259370686
nb_space,0.0010201173533955449
whois_registered_domain,0.0009895730704423634
login_form,0.0009834506997270893
http_in_path,0.00086636059669823
random_domain,0.0008334981797856949
tld_in_path,0.0006915147517713452
nb_colon,0.0006233381789063551
nb_at,0.0005609038769571417
abnormal_subdomain,0.0005311001587068204
nb_semicolumn,0.0004011541807117822
nb_dslash,0.00032184614788667
brand_in_path,0.000261232427020838
port,0.0002271800254657577
popup_window,0.00021911775819325065
nb_tilde,0.00015038420463780227
right_clic,0.00011693104146402982
iframe,6.492133043630277e-05
brand_in_subdomain,5.8807777820487965e-05
nb_comma,5.02686608455861e-05
nb_external_redirection,2.4457421386599073e-05
path_extension,2.3617699934287356e-05
onmouseover,2.040002896472235e-05
nb_dollar,9.578079311301691e-06
punycode,8.869575317153197e-06
nb_star,1.235213568905831e-06
sfh,0.0
submit_email,0.0
ratio_intErrors,0.0
ratio_intRedirection,0.0
ratio_nullHyperlinks,0.0
nb_or,0.0
