feature,importance
entropy,0.2793176517357767
url_length,0.19440282953926666
num_digits,0.15661056246865512
num_slashes,0.1103776387646635
num_special_chars,0.10416678486648352
num_dots,0.10292271950381668
keyword_login,0.03398837806167313
keyword_secure,0.011928447980365246
has_ip,0.0031658212903080303
keyword_verify,0.0031191657889913663
form_count,0.0
script_count,0.0
hidden_input_count,0.0
login_form_present,0.0
ssl_expiry_days,0.0
domain_age_days,0.0
ssl_cn_mismatch,0.0
ssl_self_signed,0.0
ssl_expired,0.0
external_form_action,0.0
